,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
AbstractServiceTest.java,0,0,0,0,0,2,14,1,0,7663,166,889,145
Aluno.java,83,1,10,1,0,2,0,1,0,,,,
AlunoController.java,66,1,9,1,2,1,0,1,9,Total,,,
AlunoRepository.java,0,0,0,0,0,2,0,1,1,8863,,,
AlunoService.java,0,0,0,0,0,0,1,0,2,,,,
AlunoServiceImpl.java,0,1,13,1,1,1,0,2,6,,,,
AlunoServiceTest.java,50,1,8,1,1,3,0,1,4,,,,
AlunoTurma.java,58,2,19,10,2,1,0,1,3,,,,
AlunoTurmaId.java,55,2,17,10,2,1,0,2,3,,,,
AlunoTurmaRepository.java,0,0,0,0,0,2,0,1,0,,,,
Anamnese.java,80,1,22,7,2,1,0,1,2,,,,
AnamneseController.java,30,1,14,1,1,1,0,1,10,,,,
AnamneseRepository.java,0,0,0,0,0,2,0,1,2,,,,
AnamneseService.java,0,0,0,0,0,0,1,0,3,,,,
AnamneseServiceImpl.java,38,2,20,1,3,1,0,2,7,,,,
AnamneseServiceTest.java,61,1,7,1,1,3,0,1,7,,,,
Atendimento.java,89,1,34,7,2,1,0,2,8,,,,
AtendimentoController.java,78,1,17,1,1,1,0,1,19,,,,
AtendimentoRepository.java,0,0,0,0,0,2,0,1,6,,,,
AtendimentoService.java,0,0,0,0,0,0,1,0,5,,,,
AtendimentoServiceImpl.java,79,1,27,1,2,1,0,2,20,,,,
AtendimentoServiceTest.java,40,1,9,1,1,3,0,1,10,,,,
Avaliacao.java,78,1,28,7,2,1,0,1,5,,,,
AvaliacaoAtendimento.java,80,1,28,7,2,1,0,1,4,,,,
AvaliacaoAtendimentoRepository.java,0,0,0,0,0,2,0,1,0,,,,
AvaliacaoController.java,22,1,13,1,1,1,0,1,7,,,,
AvaliacaoRepository.java,0,0,0,0,0,2,0,1,1,,,,
AvaliacaoService.java,0,0,0,0,0,0,1,0,3,,,,
AvaliacaoServiceImpl.java,62,1,12,1,2,1,0,2,8,,,,
ConfigurationConstants.java,0,0,0,0,0,1,0,1,0,,,,
Dente.java,99,1,4,1,0,1,0,1,1,,,,
Disciplina.java,75,1,17,7,2,1,0,1,0,,,,
DisciplinaController.java,50,1,9,1,2,1,0,1,7,,,,
DisciplinaRepository.java,0,0,0,0,0,2,0,1,1,,,,
DisciplinaService.java,0,0,0,0,0,0,1,0,2,,,,
DisciplinaServiceImpl.java,0,2,11,1,1,1,0,2,4,,,,
DisciplinaServiceTest.java,50,2,6,1,1,3,0,1,3,,,,
Documento.java,78,1,12,1,0,1,0,1,1,,,,
DocumentoController.java,19,1,9,1,2,1,0,1,7,,,,
DocumentoDownload.java,0,1,7,1,0,2,0,1,0,,,,
DocumentoRepository.java,0,0,0,0,0,2,0,1,0,,,,
DocumentoService.java,0,0,0,0,0,0,1,0,4,,,,
DocumentoServiceImpl.java,66,2,13,1,5,1,0,2,8,,,,
EmailConstants.java,0,0,0,0,0,1,0,1,0,,,,
EmailService.java,0,0,0,0,0,0,1,0,1,,,,
EmailServiceImpl.java,80,2,13,4,3,1,0,2,8,,,,
EmailTask.java,0,1,1,1,0,1,0,1,1,,,,
ExceptionSuccessConstants.java,0,0,0,0,0,1,0,1,0,,,,
